YearQuarterID,Language,ItemNumber,SID,SPEAKING,WRITING,LISTENING,READING
B782,JAPANESE,6151,555000131,2,2,2,2
B782,JAPANESE,6151,555000132,2,2,2,2
B782,JAPANESE,6151,555000133,2,2,2,2
B782,JAPANESE,6151,555000134,2,1,2,1
B782,JAPANESE,6155,555000135,2,2,2,2
B782,JAPANESE,6155,555000136,2,1,2,1
B782,JAPANESE,6155,555000137,2,2,2,2
B782,JAPANESE,6155,555000138,1,1,1,1
B782,JAPANESE,6155,555000139,2,2,2,2
B782,JAPANESE,6155,555000140,2,2,2,2
B782,JAPANESE,6155,555000141,2,2,2,2
B782,JAPANESE,6155,555000142,3,3,3,3
B782,JAPANESE,6155,555000143,2,2,2,2
B782,JAPANESE,6155,555000144,1,2,2,2
B782,JAPANESE,6155,555000145,3,3,3,3
B782,JAPANESE,6155,555000146,2,2,2,2
B782,JAPANESE,6155,555000147,2,2,2,2
B782,JAPANESE,6155,555000148,2,2,2,2
B782,JAPANESE,6155,555000149,2,2,2,2
B782,JAPANESE,6155,555000150,1,2,1,2
B782,JAPANESE,6155,555000151,1,1,1,1
B782,JAPANESE,6155,555000152,3,3,3,3
B782,JAPANESE,6155,555000153,3,2,3,2
B782,JAPANESE,6155,555000154,3,2,3,2
B782,JAPANESE,6155,555000155,3,3,3,3
B782,JAPANESE,6155,555000156,3,3,3,3
B782,JAPANESE,6155,555000157,3,3,3,3
B782,JAPANESE,6155,555000158,2,1,2,1
B782,JAPANESE,6155,555000159,3,3,3,3
B782,JAPANESE,6155,555000160,2,3,2,3
B782,JAPANESE,6155,555000161,2,2,2,2
B782,JAPANESE,6159,555000162,2,2,2,2
B782,JAPANESE,6159,555000163,2,2,2,2
B782,JAPANESE,6159,555000164,2,2,2,2
B782,JAPANESE,6159,555000165,3,3,3,3
B782,JAPANESE,6159,555000166,3,3,3,3
B782,JAPANESE,6159,555000167,2,2,2,2
B782,JAPANESE,6159,555000168,2,2,2,2
B782,JAPANESE,6159,555000169,3,3,3,3
B782,JAPANESE,6159,555000170,2,3,2,3
B782,JAPANESE,6159,555000171,3,3,3,3
B782,JAPANESE,6159,555000172,2,2,2,2
B782,JAPANESE,6159,555000173,2,2,2,2
B782,JAPANESE,6159,555000174,3,3,3,3
B782,JAPANESE,6159,555000175,2,2,2,2
B782,JAPANESE,6159,555000176,2,2,2,2
B782,JAPANESE,6159,555000177,2,3,2,3
B782,JAPANESE,6159,555000178,2,2,2,2
B782,JAPANESE,6159,555000179,2,2,2,2
B782,JAPANESE,6159,555000180,2,2,2,2
B782,JAPANESE,6159,555000181,2,3,2,3
B782,JAPANESE,6159,555000182,2,2,2,2
B782,JAPANESE,6159,555000183,3,2,3,2
B782,JAPANESE,6159,555000184,3,3,3,3
B782,JAPANESE,6159,555000185,3,3,3,3
B782,JAPANESE,6159,555000186,2,2,2,2
B782,JAPANESE,6159,555000187,2,2,2,2
B782,JAPANESE,6159,555000188,3,3,3,3
B782,JAPANESE,6159,555000189,3,3,3,3
B782,JAPANESE,6163,555000190,3,3,2,2
B782,JAPANESE,6163,555000191,3,2,2,3
B782,JAPANESE,6163,555000192,2,3,2,3
B782,JAPANESE,6163,555000193,3,2,3,2
B782,JAPANESE,6163,555000194,,,,
B782,JAPANESE,6163,555000195,3,2,2,2
B782,JAPANESE,6163,555000196,3,2,3,3
B782,JAPANESE,6163,555000197,4,4,4,4
B782,JAPANESE,6163,555000198,,,,
B782,JAPANESE,6163,555000199,3,3,3,2
B782,JAPANESE,6163,555000200,4,4,4,4
B782,JAPANESE,6163,555000201,3,3,3,3
B782,JAPANESE,6163,555000202,3,3,3,3
B782,JAPANESE,6163,555000203,1,1,2,1
B782,JAPANESE,6163,555000204,1,1,2,1
B782,JAPANESE,6163,555000205,3,2,3,3
B782,JAPANESE,6163,555000206,2,1,2,1
B782,JAPANESE,6163,555000207,3,3,3,3
B782,JAPANESE,6163,555000208,3,3,2,2
B782,JAPANESE,6163,555000209,3,3,3,3
B782,JAPANESE,6163,555000210,1,2,1,1
B782,JAPANESE,6163,555000211,,,,
B782,JAPANESE,6163,555000212,3,2,3,3
B782,JAPANESE,6163,555000213,3,3,3,3
B782,JAPANESE,6163,555000214,3,3,3,3
B782,JAPANESE,6163,555000215,1,2,1,1
B782,JAPANESE,6163,555000216,3,2,3,3
B782,JAPANESE,6171,555000217,6,5,6,5
B782,JAPANESE,6171,555000218,5,4,5,4
B782,JAPANESE,6171,555000219,5,4,5,4
B782,JAPANESE,6171,555000220,6,5,6,5
B782,JAPANESE,6171,555000221,6,5,6,5
B782,JAPANESE,6171,555000222,5,5,5,5
B782,JAPANESE,6171,555000223,4,4,4,4
B782,JAPANESE,6171,555000224,3,3,3,3
B782,JAPANESE,6171,555000225,5,5,5,5
B782,JAPANESE,6171,555000226,5,5,5,5
B782,JAPANESE,6171,555000227,5,5,5,5
B782,JAPANESE,6171,555000228,4,4,4,4
B782,JAPANESE,6171,555000229,8,8,8,8
B782,JAPANESE,6171,555000230,7,6,7,6
B782,JAPANESE,6171,555000231,7,7,7,7
B782,JAPANESE,6171,555000232,5,4,5,4
B782,JAPANESE,6171,555000233,6,5,6,6
B782,JAPANESE,6171,555000234,4,5,4,5
B782,JAPANESE,6171,555000235,5,5,5,5
B782,SPANISH,8831,555000236,5,4,5,5
B782,SPANISH,8831,555000237,3,3,3,4
B782,SPANISH,8831,555000238,3,3,3,3
B782,SPANISH,8831,555000239,3,4,3,4
B782,SPANISH,8831,555000240,2,3,3,3
B782,SPANISH,8831,555000241,2,2,2,2
B782,SPANISH,8831,555000242,1,1,2,2
B782,SPANISH,8831,555000243,4,4,5,5
B782,SPANISH,8831,555000244,3,3,4,4
B782,SPANISH,8831,555000245,5,5,6,6
B782,SPANISH,8831,555000246,2,3,3,3
B782,SPANISH,8831,555000247,5,5,5,6
B782,SPANISH,8831,555000248,3,4,4,4
B782,SPANISH,8831,555000249,3,4,3,4
B782,SPANISH,8831,555000250,4,4,4,4
B782,SPANISH,8831,555000251,3,4,3,3
B782,SPANISH,8831,555000252,3,3,3,3
B782,SPANISH,8831,555000253,3,4,4,4
B782,SPANISH,8831,555000254,3,3,3,4
B782,SPANISH,8831,555000255,3,4,3,4
B782,SPANISH,8831,555000256,5,5,6,6
B782,SPANISH,8831,555000257,5,5,5,5
B782,SPANISH,8831,555000258,1,2,2,3
B782,SPANISH,8831,555000259,3,3,4,4
B782,SPANISH,8835,555000260,3,3,4,4
B782,SPANISH,8835,555000261,3,3,4,4
B782,SPANISH,8835,555000262,3,3,4,4
B782,SPANISH,8835,555000263,4,4,5,5
B782,SPANISH,8835,555000264,4,4,4,4
B782,SPANISH,8835,555000265,3,3,4,4
B782,SPANISH,8835,555000266,3,3,3,4
B782,SPANISH,8835,555000267,4,4,4,4
B782,SPANISH,8835,555000268,3,3,4,4
B782,SPANISH,8835,555000269,3,4,3,4
B782,SPANISH,8835,555000270,3,3,4,3
B782,SPANISH,8835,555000271,3,3,3,4
B782,SPANISH,8835,555000272,4,4,4,5
B782,SPANISH,8835,555000273,4,4,5,5
B782,SPANISH,8835,555000274,4,4,5,5
B782,SPANISH,8835,555000275,3,3,3,4
B782,SPANISH,8835,555000276,3,3,3,4
B782,SPANISH,8835,555000277,2,2,3,3
B782,SPANISH,8835,555000278,1,1,1,1
B782,SPANISH,8835,555000279,2,2,3,3
B782,SPANISH,8835,555000280,3,3,4,4
B782,SPANISH,8835,555000281,3,3,4,4
B782,SPANISH,8835,555000282,3,3,3,4
B782,SPANISH,8835,555000283,4,4,5,5
B782,SPANISH,8835,555000284,4,4,5,5
B782,SPANISH,8835,555000285,3,3,3,3
B782,SPANISH,8839,555000286,3,3,3,3
B782,SPANISH,8839,555000287,3,3,3,3
B782,SPANISH,8839,555000288,3,3,3,3
B782,SPANISH,8839,555000289,2,2,2,2
B782,SPANISH,8839,555000290,2,2,2,2
B782,SPANISH,8839,555000291,3,3,3,3
B782,SPANISH,8839,555000292,2,2,2,2
B782,SPANISH,8839,555000293,3,3,3,3
B782,SPANISH,8839,555000294,3,3,3,3
B782,SPANISH,8839,555000295,2,2,2,2
B782,SPANISH,8839,555000296,3,3,3,3
B782,SPANISH,8839,555000297,1,1,1,1
B782,SPANISH,8839,555000298,2,2,2,2
B782,SPANISH,8839,555000299,3,3,3,3
B782,SPANISH,8839,555000300,3,3,3,3
B782,SPANISH,8839,555000301,2,2,2,2
B782,SPANISH,8839,555000302,2,2,2,2
B782,SPANISH,8839,555000303,2,2,2,2
B782,SPANISH,8839,555000304,2,2,2,2
B782,SPANISH,8839,555000305,3,3,3,3
B782,SPANISH,8839,555000306,3,3,3,3
B782,SPANISH,8839,555000307,3,3,4,3
B782,SPANISH,8839,555000308,4,4,4,4
B782,SPANISH,8851,555000309,,,,
B782,SPANISH,8851,555000310,3,2,2,2
B782,SPANISH,8851,555000311,3,2,2,3
B782,SPANISH,8851,555000312,1,1,1,1
B782,SPANISH,8851,555000313,,,,
B782,SPANISH,8851,555000314,3,3,2,2
B782,SPANISH,8851,555000315,1,1,1,1
B782,SPANISH,8851,555000316,1,2,1,2
B782,SPANISH,8851,555000317,2,2,2,2
B782,SPANISH,8851,555000318,2,2,2,2
B782,SPANISH,8851,555000319,1,2,1,2
B782,SPANISH,8851,555000320,1,1,2,2
B782,SPANISH,8851,555000321,1,1,2,2
B782,SPANISH,8851,555000322,3,2,2,2
B782,SPANISH,8851,555000323,2,2,2,2
B782,SPANISH,8851,555000324,,,,
B782,SPANISH,8851,555000325,1,1,1,1
B782,SPANISH,8851,555000326,2,2,2,2
B782,SPANISH,8851,555000327,2,2,2,2
B782,SPANISH,8851,555000328,,,,
B782,SPANISH,8851,555000329,2,2,2,2
B782,SPANISH,8859,555000330,2,2,2,2
B782,SPANISH,8859,555000331,3,3,3,3
B782,SPANISH,8859,555000332,4,4,4,4
B782,SPANISH,8859,555000333,3,3,3,3
B782,SPANISH,8859,555000334,4,4,4,4
B782,SPANISH,8859,555000335,2,2,2,2
B782,SPANISH,8859,555000336,2,2,2,2
B782,SPANISH,8859,555000337,3,3,3,3
B782,SPANISH,8859,555000338,3,3,3,3
B782,SPANISH,8859,555000339,3,3,3,3
B782,SPANISH,8859,555000340,2,2,2,2
B782,SPANISH,8859,555000341,3,3,3,3
B782,SPANISH,8859,555000342,1,1,1,1
B782,SPANISH,8859,555000343,3,3,3,3
B782,SPANISH,8859,555000344,2,2,2,2
B782,SPANISH,8859,555000345,3,3,3,3
B782,SPANISH,8861,555000346,1,1,1,1
B782,SPANISH,8861,555000347,2,2,2,2
B782,SPANISH,8861,555000348,3,3,3,3
B782,SPANISH,8861,555000349,3,3,3,3
B782,SPANISH,8861,555000350,2,2,2,2
B782,SPANISH,8861,555000351,2,2,2,2
B782,SPANISH,8861,555000352,3,3,3,3
B782,SPANISH,8861,555000353,2,2,2,2
B782,SPANISH,8861,555000354,1,1,1,1
B782,SPANISH,8861,555000355,3,3,3,3
B782,SPANISH,8861,555000356,2,2,2,2
B782,SPANISH,8861,555000357,3,3,3,3
B782,SPANISH,8861,555000358,3,3,3,3
B782,SPANISH,8861,555000359,2,2,2,2
B782,SPANISH,8861,555000360,3,3,3,3
B782,SPANISH,8861,555000361,2,2,2,2
B782,SPANISH,8861,555000362,2,2,2,2
B782,SPANISH,8861,555000363,4,4,4,4
B782,SPANISH,8861,555000364,2,2,2,2
B782,SPANISH,8861,555000365,1,1,1,1
B782,SPANISH,8861,555000366,4,4,4,4
B782,SPANISH,8861,555000367,3,3,3,3
B782,SPANISH,8863,555000368,5,6,6,6
B782,SPANISH,8863,555000369,6,7,8,8
B782,SPANISH,8863,555000370,8,7,8,8
B782,SPANISH,8863,555000371,6,7,6,7
B782,SPANISH,8863,555000372,5,6,7,7
B782,SPANISH,8863,555000373,7,7,7,8
B782,SPANISH,8863,555000374,7,7,8,8
B782,SPANISH,8863,555000375,7,7,8,8
B782,SPANISH,8863,555000376,6,6,7,7
B782,SPANISH,8863,555000377,7,7,7,7
B782,SPANISH,8863,555000378,6,7,8,8
B782,SPANISH,8863,555000379,7,7,8,9
B782,SPANISH,8863,555000380,8,9,9,9
B782,SPANISH,8863,555000381,7,7,8,8
B782,SPANISH,8863,555000382,7,7,7,7
B782,SPANISH,8863,555000383,6,7,7,7
B782,SPANISH,8863,555000384,7,6,7,8
B782,SPANISH,8863,555000385,8,8,9,9
B782,SPANISH,8863,555000386,6,7,6,7
B782,SPANISH,8863,555000387,6,6,6,7
B782,SPANISH,8863,555000388,6,7,6,7
B782,SPANISH,8863,555000389,6,7,7,7
B782,SPANISH,8863,555000390,5,6,7,7
B782,SPANISH,8863,555000391,6,7,7,8
